datetime,option_type,0,n_observed,spline_mode
2026-01-08 13:05:00,PE,2,12,cubic
2026-01-08 13:10:00,CE,5,9,cubic
2026-01-08 13:10:00,PE,2,12,cubic
2026-01-08 13:15:00,CE,2,12,cubic
2026-01-08 13:15:00,PE,2,12,cubic
2026-01-08 13:20:00,CE,3,11,cubic
2026-01-08 13:20:00,PE,4,10,cubic
2026-01-08 13:25:00,CE,5,9,cubic
2026-01-08 13:25:00,PE,2,12,cubic
2026-01-08 13:30:00,CE,4,10,cubic
2026-01-08 13:30:00,PE,2,12,cubic
2026-01-08 13:35:00,PE,4,10,cubic
2026-01-08 13:40:00,CE,6,8,cubic
2026-01-08 13:40:00,PE,3,11,cubic
2026-01-08 13:45:00,CE,2,12,cubic
2026-01-08 13:45:00,PE,3,11,cubic
2026-01-08 13:50:00,CE,1,13,cubic
2026-01-08 13:50:00,PE,1,13,cubic
2026-01-08 13:55:00,CE,2,12,cubic
2026-01-08 13:55:00,PE,3,11,cubic
2026-01-08 14:00:00,CE,7,7,cubic
2026-01-08 14:00:00,PE,2,12,cubic
2026-01-08 14:05:00,CE,5,9,cubic
2026-01-08 14:05:00,PE,2,12,cubic
2026-01-08 14:10:00,CE,3,11,cubic
2026-01-08 14:10:00,PE,2,12,cubic
2026-01-08 14:15:00,CE,4,10,cubic
2026-01-08 14:15:00,PE,4,10,cubic
2026-01-08 14:20:00,CE,2,12,cubic
2026-01-08 14:20:00,PE,2,12,cubic
2026-01-08 14:25:00,CE,4,10,cubic
2026-01-08 14:25:00,PE,2,12,cubic
2026-01-08 14:30:00,CE,3,11,cubic
2026-01-08 14:30:00,PE,1,13,cubic
2026-01-08 14:35:00,CE,1,13,cubic
2026-01-08 14:35:00,PE,3,11,cubic
2026-01-08 14:40:00,CE,5,9,cubic
2026-01-08 14:40:00,PE,3,11,cubic
2026-01-08 14:45:00,CE,2,12,cubic
2026-01-08 14:45:00,PE,3,11,cubic
2026-01-08 14:50:00,CE,4,10,cubic
2026-01-08 14:50:00,PE,3,11,cubic
2026-01-08 14:55:00,CE,1,13,cubic
2026-01-08 15:00:00,CE,5,9,cubic
2026-01-08 15:00:00,PE,4,10,cubic
2026-01-08 15:05:00,CE,3,11,cubic
2026-01-08 15:05:00,PE,3,11,cubic
2026-01-08 15:10:00,CE,4,10,cubic
2026-01-08 15:10:00,PE,4,10,cubic
2026-01-08 15:15:00,CE,2,12,cubic
2026-01-08 15:15:00,PE,2,12,cubic
2026-01-08 15:20:00,CE,4,10,cubic
2026-01-08 15:20:00,PE,4,10,cubic
2026-01-08 15:25:00,CE,2,12,cubic
2026-01-08 15:25:00,PE,5,9,cubic
2026-01-09 09:15:00,CE,4,10,cubic
2026-01-09 09:15:00,PE,2,12,cubic
2026-01-09 09:20:00,CE,1,13,cubic
2026-01-09 09:20:00,PE,4,10,cubic
2026-01-09 09:25:00,CE,2,12,cubic
2026-01-09 09:25:00,PE,2,12,cubic
2026-01-09 09:30:00,CE,4,10,cubic
2026-01-09 09:30:00,PE,3,11,cubic
2026-01-09 09:35:00,CE,2,12,cubic
2026-01-09 09:35:00,PE,1,13,cubic
2026-01-09 09:40:00,CE,4,10,cubic
2026-01-09 09:45:00,CE,2,12,cubic
2026-01-09 09:45:00,PE,5,9,cubic
2026-01-09 09:50:00,CE,5,9,cubic
2026-01-09 09:50:00,PE,5,9,cubic
2026-01-09 09:55:00,CE,1,13,cubic
2026-01-09 09:55:00,PE,4,10,cubic
2026-01-09 10:00:00,CE,2,12,cubic
2026-01-09 10:00:00,PE,3,11,cubic
2026-01-09 10:05:00,CE,2,12,cubic
2026-01-09 10:05:00,PE,2,12,cubic
2026-01-09 10:10:00,CE,2,12,cubic
2026-01-09 10:10:00,PE,1,13,cubic
2026-01-09 10:15:00,CE,3,11,cubic
2026-01-09 10:15:00,PE,1,13,cubic
2026-01-09 10:20:00,CE,2,12,cubic
2026-01-09 10:20:00,PE,2,12,cubic
2026-01-09 10:25:00,CE,3,11,cubic
2026-01-09 10:25:00,PE,2,12,cubic
2026-01-09 10:30:00,PE,2,12,cubic
2026-01-09 10:35:00,CE,1,13,cubic
2026-01-09 10:35:00,PE,2,12,cubic
2026-01-09 10:40:00,CE,5,9,cubic
2026-01-09 10:40:00,PE,3,11,cubic
2026-01-09 10:45:00,CE,4,10,cubic
2026-01-09 10:45:00,PE,2,12,cubic
2026-01-09 10:50:00,CE,5,9,cubic
2026-01-09 10:50:00,PE,1,13,cubic
2026-01-09 10:55:00,CE,1,13,cubic
2026-01-09 10:55:00,PE,3,11,cubic
2026-01-09 11:00:00,CE,3,11,cubic
2026-01-09 11:00:00,PE,2,12,cubic
2026-01-09 11:05:00,CE,3,11,cubic
2026-01-09 11:05:00,PE,3,11,cubic
2026-01-09 11:10:00,CE,3,11,cubic
2026-01-09 11:10:00,PE,3,11,cubic
2026-01-09 11:15:00,CE,2,12,cubic
2026-01-09 11:15:00,PE,2,12,cubic
2026-01-09 11:20:00,CE,2,12,cubic
2026-01-09 11:25:00,CE,1,13,cubic
2026-01-09 11:25:00,PE,2,12,cubic
2026-01-09 11:30:00,CE,2,12,cubic
2026-01-09 11:30:00,PE,6,8,cubic
2026-01-09 11:35:00,CE,4,10,cubic
2026-01-09 11:35:00,PE,2,12,cubic
2026-01-09 11:40:00,CE,3,11,cubic
2026-01-09 11:40:00,PE,3,11,cubic
2026-01-09 11:45:00,CE,4,10,cubic
2026-01-09 11:50:00,CE,5,9,cubic
2026-01-09 11:50:00,PE,1,13,cubic
2026-01-09 11:55:00,CE,4,10,cubic
2026-01-09 11:55:00,PE,4,10,cubic
2026-01-09 12:00:00,CE,3,11,cubic
2026-01-09 12:00:00,PE,3,11,cubic
2026-01-09 12:05:00,CE,3,11,cubic
2026-01-09 12:05:00,PE,1,13,cubic
2026-01-09 12:10:00,CE,3,11,cubic
2026-01-09 12:10:00,PE,2,12,cubic
2026-01-09 12:15:00,CE,8,6,cubic
2026-01-09 12:15:00,PE,4,10,cubic
2026-01-09 12:20:00,PE,4,10,cubic
2026-01-09 12:25:00,PE,4,10,cubic
2026-01-09 12:30:00,CE,1,13,cubic
2026-01-09 12:30:00,PE,3,11,cubic
2026-01-09 12:35:00,CE,2,12,cubic
2026-01-09 12:35:00,PE,4,10,cubic
2026-01-09 12:40:00,CE,2,12,cubic
2026-01-09 12:40:00,PE,1,13,cubic
2026-01-09 12:45:00,CE,5,9,cubic
2026-01-09 12:45:00,PE,4,10,cubic
2026-01-09 12:50:00,CE,3,11,cubic
2026-01-09 12:50:00,PE,2,12,cubic
2026-01-09 12:55:00,CE,2,12,cubic
2026-01-09 12:55:00,PE,3,11,cubic
2026-01-09 13:00:00,CE,4,10,cubic
2026-01-09 13:00:00,PE,2,12,cubic
2026-01-09 13:05:00,CE,3,11,cubic
2026-01-09 13:05:00,PE,8,6,cubic
2026-01-09 13:10:00,CE,4,10,cubic
2026-01-09 13:10:00,PE,3,11,cubic
2026-01-09 13:15:00,CE,6,8,cubic
2026-01-09 13:15:00,PE,3,11,cubic
2026-01-09 13:20:00,CE,2,12,cubic
2026-01-09 13:20:00,PE,2,12,cubic
2026-01-09 13:25:00,CE,2,12,cubic
2026-01-09 13:25:00,PE,2,12,cubic
2026-01-09 13:30:00,CE,2,12,cubic
2026-01-09 13:30:00,PE,2,12,cubic
2026-01-09 13:35:00,CE,4,10,cubic
2026-01-09 13:35:00,PE,5,9,cubic
2026-01-09 13:40:00,CE,3,11,cubic
2026-01-09 13:40:00,PE,3,11,cubic
2026-01-09 13:45:00,CE,2,12,cubic
2026-01-09 13:45:00,PE,4,10,cubic
2026-01-09 13:50:00,CE,3,11,cubic
2026-01-09 13:50:00,PE,3,11,cubic
2026-01-09 13:55:00,CE,3,11,cubic
2026-01-09 13:55:00,PE,1,13,cubic
2026-01-09 14:00:00,CE,3,11,cubic
2026-01-09 14:00:00,PE,3,11,cubic
2026-01-09 14:05:00,CE,2,12,cubic
2026-01-09 14:05:00,PE,3,11,cubic
2026-01-09 14:10:00,CE,4,10,cubic
2026-01-09 14:10:00,PE,2,12,cubic
2026-01-09 14:15:00,CE,1,13,cubic
2026-01-09 14:20:00,CE,3,11,cubic
2026-01-09 14:20:00,PE,4,10,cubic
2026-01-09 14:25:00,CE,2,12,cubic
2026-01-09 14:25:00,PE,4,10,cubic
2026-01-09 14:30:00,CE,2,12,cubic
2026-01-09 14:30:00,PE,2,12,cubic
2026-01-09 14:35:00,CE,1,13,cubic
2026-01-09 14:35:00,PE,3,11,cubic
2026-01-09 14:40:00,CE,5,9,cubic
2026-01-09 14:40:00,PE,1,13,cubic
2026-01-09 14:45:00,CE,2,12,cubic
2026-01-09 14:45:00,PE,2,12,cubic
2026-01-09 14:50:00,CE,2,12,cubic
2026-01-09 14:50:00,PE,1,13,cubic
2026-01-09 14:55:00,CE,2,12,cubic
2026-01-09 14:55:00,PE,3,11,cubic
2026-01-09 15:00:00,CE,5,9,cubic
2026-01-09 15:00:00,PE,2,12,cubic
2026-01-09 15:05:00,CE,2,12,cubic
2026-01-09 15:05:00,PE,4,10,cubic
2026-01-09 15:10:00,CE,2,12,cubic
2026-01-09 15:10:00,PE,5,9,cubic
2026-01-09 15:15:00,CE,3,11,cubic
2026-01-09 15:15:00,PE,5,9,cubic
2026-01-09 15:20:00,CE,5,9,cubic
2026-01-09 15:20:00,PE,3,11,cubic
2026-01-09 15:25:00,CE,3,11,cubic
2026-01-09 15:25:00,PE,3,11,cubic
2026-01-12 09:15:00,CE,3,11,cubic
2026-01-12 09:15:00,PE,2,12,cubic
2026-01-12 09:20:00,CE,3,11,cubic
2026-01-12 09:20:00,PE,5,9,cubic
2026-01-12 09:25:00,CE,2,12,cubic
2026-01-12 09:25:00,PE,1,13,cubic
2026-01-12 09:30:00,CE,4,10,cubic
2026-01-12 09:30:00,PE,3,11,cubic
2026-01-12 09:35:00,CE,5,9,cubic
2026-01-12 09:35:00,PE,5,9,cubic
2026-01-12 09:40:00,CE,2,12,cubic
2026-01-12 09:40:00,PE,3,11,cubic
2026-01-12 09:45:00,CE,2,12,cubic
2026-01-12 09:45:00,PE,3,11,cubic
2026-01-12 09:50:00,CE,3,11,cubic
2026-01-12 09:50:00,PE,1,13,cubic
2026-01-12 09:55:00,CE,5,9,cubic
2026-01-12 09:55:00,PE,3,11,cubic
2026-01-12 10:00:00,CE,4,10,cubic
2026-01-12 10:00:00,PE,1,13,cubic
2026-01-12 10:05:00,PE,6,8,cubic
2026-01-12 10:10:00,CE,3,11,cubic
2026-01-12 10:10:00,PE,3,11,cubic
2026-01-12 10:15:00,CE,3,11,cubic
2026-01-12 10:15:00,PE,5,9,cubic
2026-01-12 10:20:00,CE,2,12,cubic
2026-01-12 10:20:00,PE,3,11,cubic
2026-01-12 10:25:00,CE,4,10,cubic
2026-01-12 10:25:00,PE,4,10,cubic
2026-01-12 10:30:00,CE,3,11,cubic
2026-01-12 10:30:00,PE,1,13,cubic
2026-01-12 10:35:00,CE,3,11,cubic
2026-01-12 10:35:00,PE,1,13,cubic
2026-01-12 10:40:00,CE,4,10,cubic
2026-01-12 10:40:00,PE,2,12,cubic
2026-01-12 10:45:00,CE,3,11,cubic
2026-01-12 10:45:00,PE,2,12,cubic
2026-01-12 10:50:00,CE,3,11,cubic
2026-01-12 10:50:00,PE,2,12,cubic
